번호,나라,도시명,영문표기,등록일,상세페이지 링크
1,크로아티아,자그레브,Zagreb,2012-07-27,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=1126&frommain=1&fm=y
2,레바논,베이루트,Beirut,2012-06-27,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=1105&frommain=1&fm=y
3,카자흐스탄,아스타나,Astana,2012-05-22,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=1082&frommain=1&fm=y
4,태국,방콕,Bangkok,2012-04-20,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=1067&frommain=1&fm=y
5,에스토니아,탈린,Tallinn,2012-03-27,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=1054&frommain=1&fm=y
6,인도,뭄바이,Mumbai,2012-02-23,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=1052&frommain=1&fm=y
7,루마니아,부쿠레슈티,Bucuresti,2012-02-06,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=1034&frommain=1&fm=y
8,캄보디아,프놈펜,Phnom Penh,2011-12-29,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=1022&frommain=1&fm=y
9,모로코,카사블랑카,Casablanca,2011-11-17,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=1012&frommain=1&fm=y
10,콜롬비아,카르타헤나,Cartagena,2011-10-19,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=1008&frommain=1&fm=y
11,우크라이나,키예프,Kyiv,2011-09-23,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=982&frommain=1&fm=y
12,오스트레일리아,퍼스,Perth,2011-08-25,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=973&frommain=1&fm=y
13,프랑스,리옹,Lyon,2011-07-29,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=959&frommain=1&fm=y
14,파라과이,아순시온,Asuncion,2011-06-29,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=910&frommain=1&fm=y
15,이집트,룩소르,Luxor,2011-05-19,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=889&frommain=1&fm=y
16,사우디아라비아,젯다,Jeddah,2011-04-19,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=878&frommain=1&fm=y
17,도미니카공화국,산토도밍고,Santo Domingo,2011-03-24,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=869&frommain=1&fm=y
18,일본,유후인,Yufuin,2011-03-03,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=854&frommain=1&fm=y
19,탄자니아,다르에스살람,Dar es Salaam,2011-02-07,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=837&frommain=1&fm=y
20,나이지리아,라고스,Lagos,2010-12-23,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=818&frommain=1&fm=y
21,튀니지,튀니스,Tunis,2010-11-29,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=817&frommain=1&fm=y
22,세이셸 공화국,빅토리아,Victoria,2010-10-19,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=787&frommain=1&fm=y
23,스페인,빌바오,Bilbao,2010-09-28,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=776&frommain=1&fm=y
24,미국,오스틴,Austin,2010-08-27,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=765&frommain=1&fm=y
25,캐나다,퀘벡,Quebec,2010-07-26,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=764&frommain=1&fm=y
26,스위스,베른,Bern,2010-06-22,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=752&frommain=1&fm=y
27,터키,괴뢰메,Goreme,2010-04-16,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=721&frommain=1&fm=y
28,이집트,탄타,tanta,2010-03-22,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=711&frommain=1&fm=y
29,스페인,발렌시아,Valencia,2010-03-22,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=705&frommain=1&fm=y
30,포르투칼,리스본,Lisbon,2010-03-02,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=698&frommain=1&fm=y
31,우루과이,몬테비데오,Montevideo,2010-01-29,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=690&frommain=1&fm=y
32,몽골,울란바토르,Ulaanbaatar,2010-01-29,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=689&frommain=1&fm=y
33,독일,드렌스덴,Dresden,2009-12-31,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=664&frommain=1&fm=y
34,영국,버밍엄,Birmingham,2009-12-03,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=653&frommain=1&fm=y
35,쿠바,아바나(하바나),La habana,2009-12-03,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=652&frommain=1&fm=y
36,스웨덴,고텐부르크,Goteborg,2009-10-28,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=646&frommain=1&fm=y
37,인도,뭄바이,Mumbai,2009-10-27,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=647&frommain=1&fm=y
38,오스트레일리아,브리즈번,brisbane,2009-09-17,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=632&frommain=1&fm=y
39,미국,클리블랜드,Cleveland,2009-08-19,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=614&frommain=1&fm=y
40,슬로베니아,류블랴나,Ljubljana,2009-07-13,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=613&frommain=1&fm=y
41,브라질,브라질리아,brasilia,2009-07-09,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=611&frommain=1&fm=y
42,영국,맨체스터,Manchester,2009-06-30,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=570&frommain=1&fm=y
43,볼리비아,라파스,La Paz,2009-05-21,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=543&frommain=1&fm=y
44,아일랜드,더블린,Dublin,2009-01-09,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=105&frommain=1&fm=y
45,오스트레일리아,애들레이드,Adelaide,2008-12-27,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=8&frommain=1&fm=y
46,미국,클리블랜드,Cleveland,2008-12-27,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=7&frommain=1&fm=y
47,페루,리마,Lima,2008-12-22,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=3&frommain=1&fm=y
48,그리스,아테네,Athens,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=55&frommain=1&fm=y
49,남아프리카공화국,요하네스버그,Johannesburg,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=83&frommain=1&fm=y
50,남아프리카공화국,케이프타운,Cape town,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=84&frommain=1&fm=y
